Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 64 yards, returned by Kene Nwangwu for 21 yards (tackle by Mitch Wishnowsky)",0.000,0.410
1,14:53,1,10,MIN 22,0,0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Samson Ebukam),0.410,-0.130
1,14:50,2,10,MIN 22,0,0,Dalvin Cook right guard for 4 yards (tackle by Arik Armstead),-0.130,-0.290
1,14:23,3,6,MIN 26,0,0,Kirk Cousins pass incomplete deep middle intended for Justin Jefferson,-0.290,-1.630
1,14:16,4,6,MIN 26,0,0,"Jordan Berry punts 45 yards, fair catch by Brandon Aiyuk at SF-29",-1.630,-0.870
1,14:10,1,10,SFO 29,0,0,Elijah Mitchell left tackle for 4 yards (tackle by Anthony Barr),0.870,0.870
1,13:39,2,6,SFO 33,0,0,Jimmy Garoppolo pass incomplete deep middle intended for Deebo Samuel,0.870,0.170
1,13:34,3,6,SFO 33,0,0,Jimmy Garoppolo pass complete deep middle to Jauan Jennings for 21 yards (tackle by Bashaud Breeland and Harrison Smith),0.170,2.520
1,12:52,1,10,MIN 46,0,0,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk,2.520,1.980
1,12:49,2,10,MIN 46,0,0,"Penalty on Brandon Aiyuk: False Start, 5 yards (accepted) (no play)",1.980,1.300
1,12:49,2,15,SFO 49,0,0,Elijah Mitchell right guard for 3 yards (tackle by Eric Kendricks and Anthony Barr),1.300,1.030
1,12:09,3,12,MIN 48,0,0,Jimmy Garoppolo pass intended for Deebo Samuel is intercepted by Harrison Smith at MIN-41 and returned for 10 yards (tackle by Tom Compton),1.030,-2.260
1,12:00,1,10,SFO 50,0,0,Kirk Cousins pass complete short left to Dalvin Cook for 2 yards (tackle by Azeez Al-Shaair),2.260,2.120
1,11:41,2,7,SFO 47,0,0,Kirk Cousins pass complete short right to Dalvin Cook for 11 yards (tackle by Azeez Al-Shaair and D.J. Jones),2.120,3.180
1,11:02,1,10,SFO 36,0,0,Alexander Mattison left tackle for 1 yard (tackle by D.J. Jones),3.180,2.770
1,10:30,2,9,SFO 35,0,0,Kirk Cousins pass complete deep left to Adam Thielen for 29 yards (tackle by Josh Norman),2.770,5.830
1,9:52,1,6,SFO 6,0,0,Dalvin Cook up the middle for 3 yards (tackle by Nick Bosa),5.830,5.530
1,9:15,2,3,SFO 3,0,0,Dalvin Cook up the middle for 1 yard (tackle by Azeez Al-Shaair and Dre Greenlaw),5.530,4.950
1,8:39,3,2,SFO 2,0,0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,4.950,3.250
1,8:32,,,,,,Timeout #1 by San Francisco 49ers,,
1,8:32,4,2,SFO 2,6,0,"Kirk Cousins pass complete to Adam Thielen for 2 yards, touchdown",3.250,7.000
1,8:27,,,SFO 15,7,0,Greg Joseph kicks extra point good,0.000,0.000
1,8:27,,,MIN 35,7,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,8:27,1,10,SFO 25,7,0,Deebo Samuel left end for -3 yards (tackle by Patrick Peterson),0.610,-0.340
1,7:47,2,13,SFO 22,7,0,Jimmy Garoppolo pass incomplete short middle intended for Brandon Aiyuk,-0.340,-1.020
1,7:42,3,13,SFO 22,7,0,Jimmy Garoppolo pass complete deep left to Brandon Aiyuk for 37 yards (tackle by Patrick Peterson),-1.020,2.850
1,7:06,1,10,MIN 41,7,0,Elijah Mitchell left guard for 6 yards (tackle by Harrison Smith and Nick Vigil),2.850,3.120
1,6:21,2,4,MIN 35,7,0,Elijah Mitchell right tackle for 15 yards (tackle by Xavier Woods),3.120,4.240
1,5:39,1,10,MIN 20,7,6,"Deebo Samuel right end for 20 yards, touchdown",4.240,7.000
1,5:31,,,MIN 15,7,7,Robbie Gould kicks extra point good,0.000,0.000
1,5:31,,,SFO 35,7,7,"Penalty on Harrison Smith: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.000,-2.260
1,5:31,1,10,SFO 50,7,7,"Robbie Gould kicks off 51 yards, returned by Alexander Mattison for 18 yards (tackle by Charlie Woerner)",2.260,-0.060
1,5:25,1,10,MIN 17,7,7,Kirk Cousins pass complete short left to Dalvin Cook for 7 yards (tackle by Emmanuel Moseley),-0.060,0.480
1,4:48,2,3,MIN 24,7,7,Dalvin Cook up the middle for 1 yard (tackle by Dre Greenlaw and Arden Key),0.480,-0.240
1,4:09,3,2,MIN 25,7,7,Dalvin Cook right tackle for no gain (tackle by Charles Omenihu),-0.240,-1.700
1,3:29,4,2,MIN 25,7,7,"Jordan Berry punts 56 yards, returned by Brandon Aiyuk for 12 yards (tackle by Kris Boyd)",-1.700,-1.000
1,3:15,1,10,SFO 31,7,7,Elijah Mitchell left end for 10 yards (tackle by Patrick Peterson),1.000,1.660
1,2:36,1,10,SFO 41,7,7,Elijah Mitchell right tackle for 1 yard (tackle by Tashawn Bower),1.660,1.260
1,1:57,2,9,SFO 42,7,7,Jimmy Garoppolo pass complete short right to Elijah Mitchell for 3 yards (tackle by Anthony Barr),1.260,0.960
1,1:15,3,6,SFO 45,7,7,Jimmy Garoppolo sacked by D.J. Wonnum for -10 yards,0.960,-1.040
1,0:42,4,16,SFO 35,7,7,"Mitch Wishnowsky punts 65 yards, touchback.",-1.040,-0.280
1,0:32,1,10,MIN 20,7,7,Kirk Cousins pass complete short left to Adam Thielen for 4 yards (tackle by Josh Norman),0.280,0.270
Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,MIN 24,7,7,Dalvin Cook left guard for 4 yards (tackle by Talanoa Hufanga and Fred Warner),0.270,0.100
2,14:22,3,2,MIN 28,7,7,"Kirk Cousins pass complete deep left to Justin Jefferson for 30 yards (tackle by Jaquiski Tartt). Penalty on Josh Norman: Defensive Holding, 5 yards (declined)",0.100,2.790
2,13:59,1,10,SFO 42,7,7,Kirk Cousins pass complete short right to Justin Jefferson for 15 yards (tackle by Jimmie Ward),2.790,3.780
2,13:25,1,10,SFO 27,7,7,Alexander Mattison up the middle for 7 yards (tackle by Fred Warner and Dre Greenlaw),3.780,4.180
2,12:49,2,3,SFO 20,13,7,"Kirk Cousins pass complete deep left to Adam Thielen for 20 yards, touchdown",4.180,7.000
2,12:42,,,SFO 15,14,7,Greg Joseph kicks extra point good,0.000,0.000
2,12:42,,,MIN 35,14,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,12:42,1,10,SFO 25,14,7,Deebo Samuel left end for 3 yards (tackle by Patrick Peterson),0.610,0.470
2,12:00,,,,,,Timeout #2 by San Francisco 49ers,,
2,12:00,2,7,SFO 28,14,7,Brandon Aiyuk right end for 4 yards (tackle by Xavier Woods),0.470,0.300
2,11:21,3,3,SFO 32,14,7,Jimmy Garoppolo pass incomplete short left intended for George Kittle (defended by Xavier Woods),0.300,-1.240
2,11:17,4,3,SFO 32,14,7,"Mitch Wishnowsky punts 51 yards, fair catch by Dede Westbrook at MIN-17",-1.240,0.060
2,11:10,1,10,MIN 17,14,7,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Jimmie Ward),-0.060,0.480
2,10:32,2,3,MIN 24,14,7,Dalvin Cook up the middle for 4 yards (tackle by Fred Warner and Arden Key),0.480,0.810
2,9:56,1,10,MIN 28,14,7,Kirk Cousins sacked by Nick Bosa for -6 yards,0.810,-0.550
2,9:28,2,16,MIN 22,14,7,Kirk Cousins pass incomplete short right intended for Dalvin Cook,-0.550,-1.220
2,9:24,3,16,MIN 22,14,7,Kirk Cousins pass complete short left to Dalvin Cook for 6 yards (tackle by Jaquiski Tartt),-1.220,-1.500
2,8:49,4,10,MIN 28,14,7,"Jordan Berry punts 59 yards, returned by Brandon Aiyuk for 2 yards (tackle by Josh Metellus)",-1.500,0.220
2,8:38,1,10,SFO 15,14,7,Elijah Mitchell left tackle for 9 yards (tackle by Eric Kendricks and D.J. Wonnum),-0.220,0.620
2,8:07,2,1,SFO 24,14,7,Elijah Mitchell up the middle for 3 yards (tackle by Harrison Smith and Sheldon Richardson),0.620,0.740
2,7:32,1,10,SFO 27,14,7,Jimmy Garoppolo pass complete short left to Elijah Mitchell for 2 yards (tackle by Sheldon Richardson),0.740,0.470
2,6:42,2,8,SFO 29,14,7,Jimmy Garoppolo pass complete short right to Charlie Woerner for 11 yards (tackle by Harrison Smith and Eric Kendricks),0.470,1.600
2,5:56,1,10,SFO 40,14,7,Elijah Mitchell up the middle for 4 yards (tackle by Nick Vigil),1.600,1.590
2,5:16,2,6,SFO 44,14,7,Elijah Mitchell left guard for 10 yards (tackle by Xavier Woods and Nick Vigil),1.590,2.520
2,4:35,1,10,MIN 46,14,7,Jimmy Garoppolo pass incomplete deep right intended for Brandon Aiyuk (defended by Harrison Smith),2.520,1.980
2,4:28,2,10,MIN 46,14,7,Jimmy Garoppolo pass complete short left to Jeff Wilson for 2 yards (tackle by Anthony Barr),1.980,1.550
2,3:47,3,8,MIN 44,14,7,"Jauan Jennings pass complete short left to Jeff Wilson for no gain (tackle by Sheldon Richardson). Penalty on Patrick Peterson: Defensive Holding, 5 yards (accepted) (no play)",1.550,2.980
2,3:20,1,10,MIN 39,14,7,Elijah Mitchell left tackle for 4 yards (tackle by Anthony Barr and Patrick Jones),2.980,2.980
2,2:41,2,6,MIN 35,14,7,Elijah Mitchell left tackle for 4 yards (tackle by James Lynch and Harrison Smith),2.980,2.810
2,2:00,3,2,MIN 31,14,7,Jimmy Garoppolo up the middle for 2 yards (tackle by James Lynch),2.810,3.640
2,1:22,1,10,MIN 29,14,7,"Elijah Mitchell right end for no gain (tackle by D.J. Wonnum and Eric Kendricks). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (accepted) (no play)",3.640,2.980
2,1:15,1,20,MIN 39,14,7,Jimmy Garoppolo pass incomplete short middle intended for Elijah Mitchell,2.980,1.750
2,1:11,2,20,MIN 39,14,7,Jimmy Garoppolo pass complete short right to Elijah Mitchell for 9 yards (tackle by Anthony Barr and Sheldon Richardson),1.750,2.280
2,0:35,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:35,3,11,MIN 30,14,7,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 24 yards (tackle by Harrison Smith and Xavier Woods),2.280,5.830
2,0:22,1,6,MIN 6,14,7,"Penalty on Sheldon Richardson: Neutral Zone Infraction, 3 yards (accepted) (no play)",5.830,6.510
2,0:22,1,3,MIN 3,14,13,"Jimmy Garoppolo pass complete short right to Jauan Jennings for 3 yards, touchdown",6.510,7.000
2,0:18,,,MIN 15,14,14,Robbie Gould kicks extra point good,0.000,0.000
2,0:18,,,SFO 35,14,14,"Mitch Wishnowsky kicks off 55 yards, returned by Kene Nwangwu for 30 yards (tackle by Jaquiski Tartt)",0.000,1.600
2,0:12,1,10,MIN 40,14,14,Kirk Cousins pass complete short left to Dalvin Cook for 14 yards (tackle by Azeez Al-Shaair),1.600,2.520
2,0:05,1,10,SFO 46,14,14,Kirk Cousins pass incomplete deep left,2.520,1.980
Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,14,14,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,14,14,Jimmy Garoppolo pass complete short right to Elijah Mitchell for 13 yards (tackle by Anthony Barr),0.610,1.470
3,14:19,1,10,SFO 38,14,14,Elijah Mitchell left tackle for 5 yards (tackle by Armon Watts and Nick Vigil),1.470,1.600
3,13:40,2,5,SFO 43,14,14,Deebo Samuel right end for 49 yards (tackle by Patrick Peterson),1.600,5.370
3,12:53,1,8,MIN 8,14,14,"Elijah Mitchell right end for 2 yards (tackle by Bashaud Breeland and D.J. Wonnum). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (accepted)",5.370,4.310
3,12:21,1,16,MIN 16,14,14,Jimmy Garoppolo pass complete short right to George Kittle for 13 yards (tackle by Anthony Barr),4.310,5.530
3,11:36,2,3,MIN 3,14,20,"Deebo Samuel left end for 3 yards, touchdown",5.530,7.000
3,11:31,,,MIN 15,14,21,Robbie Gould kicks extra point good,0.000,0.000
3,11:31,,,SFO 35,14,21,"Mitch Wishnowsky kicks off 65 yards, returned by Kene Nwangwu for 21 yards (tackle by Deommodore Lenoir)",0.000,0.340
3,11:24,1,10,MIN 21,14,21,Kirk Cousins pass intended for Adam Thielen is intercepted by Azeez Al-Shaair at MIN-26 and returned for 24 yards (tackle by Ezra Cleveland),0.340,-6.740
3,11:13,1,2,MIN 2,14,27,"Elijah Mitchell up the middle for 2 yards, touchdown",6.740,7.000
3,11:09,,,MIN 15,14,28,Robbie Gould kicks extra point good,0.000,0.000
3,11:09,,,SFO 35,14,28,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,11:09,1,10,MIN 25,14,28,Dalvin Cook up the middle for 30 yards (tackle by Jimmie Ward and Emmanuel Moseley),0.610,2.590
3,10:34,1,10,SFO 45,14,28,Dalvin Cook right tackle for no gain (tackle by Azeez Al-Shaair and D.J. Jones),2.590,2.040
3,9:54,2,10,SFO 45,14,28,Kirk Cousins pass complete short left to Justin Jefferson for 15 yards (tackle by Jaquiski Tartt),2.040,3.580
3,9:16,1,10,SFO 30,14,28,Justin Jefferson pass complete short right to Dalvin Cook for 24 yards (tackle by Azeez Al-Shaair),3.580,5.830
3,8:34,1,6,SFO 6,20,28,"Alexander Mattison left end for 6 yards, touchdown",5.830,7.000
3,8:28,,,SFO 15,20,28,Greg Joseph kicks extra point no good,0.000,-1.000
3,8:28,,,MIN 35,20,28,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,8:28,1,10,SFO 25,20,28,Jimmy Garoppolo pass complete deep middle to Brandon Aiyuk for 30 yards (tackle by Xavier Woods),0.610,2.590
3,7:47,1,10,MIN 45,20,28,Elijah Mitchell up the middle for 4 yards (tackle by James Lynch and T.J. Smith),2.590,2.580
3,7:12,2,6,MIN 41,20,28,Elijah Mitchell left end for 12 yards (tackle by Eric Kendricks),2.580,3.640
3,6:28,1,10,MIN 29,20,28,Elijah Mitchell up the middle for no gain (tackle by T.J. Smith),3.640,3.100
3,5:44,2,10,MIN 29,20,28,Jeff Wilson left guard for 1 yard (tackle by Nick Vigil and Eric Kendricks),3.100,2.540
3,5:09,3,9,MIN 28,20,28,Jimmy Garoppolo pass incomplete deep right intended for Deebo Samuel,2.540,1.590
3,5:03,4,9,MIN 28,20,31,Robbie Gould 46 yard field goal good,1.590,3.000
3,4:58,,,SFO 35,26,31,"Mitch Wishnowsky kicks off 64 yards, returned by Kene Nwangwu for 99 yards, touchdown",0.000,7.000
3,4:46,,,SFO 2,26,31,Two Point Attempt: Kirk Cousins pass incomplete intended for intended for Justin Jefferson,1.000,-1.000
3,4:46,,,MIN 35,26,31,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,4:46,1,10,SFO 25,26,31,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 12 yards (tackle by Harrison Smith and Blake Lynch),0.610,1.400
3,4:00,1,10,SFO 37,26,31,Elijah Mitchell left end for 3 yards (tackle by Harrison Smith),1.400,1.260
3,3:17,2,7,SFO 40,26,31,"Jimmy Garoppolo pass complete short right to Brandon Aiyuk for no gain (tackle by Xavier Woods). Penalty on Deebo Samuel: Offensive Pass Interference, 10 yards (accepted) (no play)",1.260,-0.090
3,2:52,2,17,SFO 30,26,31,Jimmy Garoppolo pass complete short right to Elijah Mitchell for 8 yards (tackle by Nick Vigil),-0.090,0.300
3,2:17,3,9,SFO 38,26,31,Jimmy Garoppolo sacked by Armon Watts for -5 yards,0.300,-1.180
3,1:45,4,14,SFO 33,26,31,"Mitch Wishnowsky punts 67 yards, touchback.",-1.180,-0.280
3,1:37,1,10,MIN 20,26,31,"Dalvin Cook for -8 yards. Dalvin Cook fumbles (forced by Kevin Givens), recovered by Azeez Al-Shaair at MIN-9 (tackle by Kevin Givens)",0.280,-5.140
3,1:30,1,9,MIN 9,26,31,Deebo Samuel left tackle for -6 yards (tackle by Nick Vigil),5.140,3.460
3,1:02,2,15,MIN 15,26,31,"Jimmy Garoppolo pass complete to Jauan Jennings for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jimmy Garoppolo pass incomplete intended for Jauan Jennings",3.460,2.930
3,0:56,3,15,MIN 15,26,31,Jimmy Garoppolo pass complete short middle to Kyle Juszczyk for 11 yards (tackle by Nick Vigil and Josh Metellus),2.930,3.030
3,0:13,4,4,MIN 4,26,34,Robbie Gould 22 yard field goal good,3.030,3.000
3,0:09,,,SFO 35,26,34,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
3,0:09,1,10,MIN 25,26,34,Kirk Cousins pass complete short middle to C.J. Ham for 16 yards (tackle by Demetrius Flannigan-Fowles and Kevin Givens),0.610,1.660
Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 41,26,34,"Kirk Cousins pass complete short left to C.J. Ham for no gain (tackle by Talanoa Hufanga). Penalty on Oli Udoh: Offensive Holding, 10 yards (accepted) (no play)",1.660,1.000
4,14:45,1,20,MIN 31,26,34,Kirk Cousins pass complete short right to Alexander Mattison for 5 yards (tackle by Talanoa Hufanga),1.000,0.450
4,14:21,2,15,MIN 36,26,34,Kene Nwangwu left end for 7 yards (tackle by Azeez Al-Shaair),0.450,0.700
4,13:41,3,8,MIN 43,26,34,"Kirk Cousins pass incomplete intended for Justin Jefferson. Penalty on Josh Norman: Defensive Pass Interference, 22 yards (accepted) (no play)",0.700,3.250
4,13:30,1,10,SFO 35,26,34,Alexander Mattison right guard for 1 yard (tackle by Samson Ebukam),3.250,2.840
4,12:54,2,9,SFO 34,26,34,"Kirk Cousins pass incomplete deep right intended for Adam Thielen MIN challenged the pass completion ruling, and the play was upheld.",2.840,2.150
4,12:46,3,9,SFO 34,26,34,Kirk Cousins pass complete short right to Tyler Conklin for 17 yards (tackle by Samson Ebukam),2.150,4.440
4,12:03,1,10,SFO 17,26,34,Alexander Mattison left tackle for 3 yards (tackle by D.J. Jones and Demetrius Flannigan-Fowles),4.440,4.320
4,11:29,2,7,SFO 14,26,34,"Kirk Cousins pass complete short left to Tyler Conklin for 8 yards. Tyler Conklin fumbles (forced by Josh Norman), recovered by Tyler Conklin at SF-6 (tackle by Josh Norman)",4.320,5.830
4,10:34,1,6,SFO 6,26,34,Alexander Mattison up the middle for 1 yard (tackle by D.J. Jones and Arik Armstead),5.830,5.150
4,9:54,2,5,SFO 5,26,34,Alexander Mattison up the middle for 2 yards (tackle by Emmanuel Moseley and Demetrius Flannigan-Fowles),5.150,4.720
4,9:13,3,3,SFO 3,26,34,Kirk Cousins pass incomplete short middle intended for Tyler Conklin (defended by Talanoa Hufanga),4.720,3.040
4,9:09,,,,,,Timeout #2 by Minnesota Vikings,,
4,9:09,4,3,SFO 3,26,34,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,3.040,0.380
4,9:04,1,10,SFO 4,26,34,Elijah Mitchell up the middle for 5 yards (tackle by James Lynch),-0.380,-0.420
4,8:25,2,5,SFO 9,26,34,Elijah Mitchell right end for 1 yard (tackle by D.J. Wonnum),-0.420,-0.720
4,7:39,3,4,SFO 10,26,34,Jimmy Garoppolo pass complete short right to Trent Sherfield for 5 yards (tackle by Bashaud Breeland and Harrison Smith),-0.720,-0.220
4,6:58,1,10,SFO 15,26,34,Elijah Mitchell right tackle for no gain (tackle by Sheldon Richardson and James Lynch),-0.220,-0.710
4,6:13,2,10,SFO 15,26,34,Jimmy Garoppolo pass complete deep middle to Kyle Juszczyk for 26 yards (tackle by Harrison Smith),-0.710,1.660
4,5:27,1,10,SFO 41,26,34,Elijah Mitchell left guard for 6 yards (tackle by T.J. Smith and Patrick Jones),1.660,1.930
4,4:41,2,4,SFO 47,26,34,Elijah Mitchell up the middle for 7 yards (tackle by Eric Kendricks),1.930,2.520
4,3:57,1,10,MIN 46,26,34,Elijah Mitchell left tackle for 9 yards (tackle by Harrison Smith),2.520,3.190
4,3:13,2,1,MIN 37,26,34,"Penalty on James Lynch: Encroachment, 5 yards (accepted) (no play)",3.190,3.450
4,3:15,1,10,MIN 32,26,34,Jeff Wilson right end for 4 yards (tackle by Armon Watts and Xavier Woods),3.450,3.440
4,3:10,,,,,,Timeout #3 by Minnesota Vikings,,
4,3:10,2,6,MIN 28,26,34,Elijah Mitchell up the middle for 3 yards (tackle by Sheldon Richardson and Blake Lynch),3.440,3.140
4,2:25,3,3,MIN 25,26,34,Elijah Mitchell up the middle for 1 yard (tackle by Blake Lynch),3.140,1.990
4,2:00,4,2,MIN 24,26,34,Robbie Gould 42 yard field goal no good,1.990,-1.070
4,1:56,1,10,MIN 32,26,34,Kirk Cousins pass complete short right to K.J. Osborn for 5 yards (tackle by Emmanuel Moseley),1.070,1.200
4,1:39,2,5,MIN 37,26,34,Kirk Cousins pass complete deep middle to Justin Jefferson for 23 yards (tackle by Jimmie Ward),1.200,2.920
4,1:20,1,10,SFO 40,26,34,Kirk Cousins pass incomplete short right intended for Alexander Mattison,2.920,2.370
4,1:15,2,10,SFO 40,26,34,Kirk Cousins pass complete short right to Alexander Mattison for 2 yards (tackle by Azeez Al-Shaair),2.370,1.950
4,0:54,3,8,SFO 38,26,34,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by K'Waun Williams),1.950,0.720
4,0:50,4,8,SFO 38,26,34,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,0.720,-1.470
4,0:45,1,10,SFO 38,26,34,Jimmy Garoppolo kneels for -1 yards,1.470,0.790
4,0:25,2,11,SFO 37,26,34,Jimmy Garoppolo kneels for -1 yards,0.790,-0.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
