Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,NOR,17,27,174,1,2,2,17,18,62.9,3,1,0,1,0,0,0,0,0,2,0
Taysom Hill,NOR,0,1,0,0,0,0,0,0,39.6,3,1,0,1,0,0,0,0,0,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,8,26,0,14,4,3,19,0,10,0,0
Jordan Howard,NOR,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,44,1,15,0,0
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,40,0,14,0,0
Jarvis Landry,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,17,0,0
Adam Trautman,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,18,0,0
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Kevin White,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kenny Pickett,PIT,18,30,199,0,0,6,37,36,79.7,8,51,1,23,0,0,0,0,0,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,20,99,0,36,1,0,0,0,0,1,0
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,9,37,0,21,3,3,40,0,26,0,0
George Pickens,PIT,0,0,0,0,0,0,0,0,,2,23,1,22,4,3,32,0,14,0,0
Derek Watt,PIT,0,0,0,0,0,0,0,0,,2,5,0,3,0,0,0,0,0,0,0
Steven Sims,PIT,0,0,0,0,0,0,0,0,,2,2,0,3,2,1,15,0,15,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,63,0,36,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,36,0,12,0,0
Connor Heyward,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,8,0,0
Gunner Olszewski,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
